epoch_index,wsmi_scalar,subject_id,band
0,0.0011927107228094495,patient2,alpha
1,0.003165660228716195,patient2,alpha
2,0.005092400635100588,patient2,alpha
3,0.002838648415992302,patient2,alpha
4,0.0027432138914046567,patient2,alpha
5,0.001722192853369689,patient2,alpha
6,-0.00010139433094278102,patient2,alpha
7,-0.000679834205972586,patient2,alpha
8,-0.0021718886469116214,patient2,alpha
9,-0.0033721175719501136,patient2,alpha
10,-0.005191797335248926,patient2,alpha
11,-0.004151824885871632,patient2,alpha
12,-0.0025106451029546324,patient2,alpha
13,0.0003316665725683433,patient2,alpha
14,-0.0034067160256767396,patient2,alpha
15,-0.0032508636533786685,patient2,alpha
16,-0.002358818843835603,patient2,alpha
17,-0.0038199482054474656,patient2,alpha
18,-0.0067220671682143894,patient2,alpha
19,-0.005273788028717169,patient2,alpha
20,-0.005559812943592841,patient2,alpha
21,-0.0020609883230569576,patient2,alpha
22,-8.14052658578368e-05,patient2,alpha
23,-0.0024679566818927336,patient2,alpha
24,-0.0010139940931085344,patient2,alpha
25,-0.0034495852046216107,patient2,alpha
26,-0.003634056704098605,patient2,alpha
27,-0.0021994941024522556,patient2,alpha
28,-0.003895415055875571,patient2,alpha
29,-0.004038631471169701,patient2,alpha
30,-0.0052606493906089445,patient2,alpha
31,-0.0044120692127209106,patient2,alpha
32,-0.005058158331850297,patient2,alpha
33,-0.0028359508723211574,patient2,alpha
34,-0.005796885585394951,patient2,alpha
35,-0.003059649253094065,patient2,alpha
36,-0.0069443182463819145,patient2,alpha
37,-0.009197106599494916,patient2,alpha
38,-0.007432377363807721,patient2,alpha
39,-0.006607472614165403,patient2,alpha
40,-0.005437052455695925,patient2,alpha
41,-0.00665484831794631,patient2,alpha
42,-0.007647856322843897,patient2,alpha
43,-0.007110498238484473,patient2,alpha
44,-0.009810645943860535,patient2,alpha
45,-0.010470533901436372,patient2,alpha
46,-0.01053167274874675,patient2,alpha
47,-0.01195060536723022,patient2,alpha
48,-0.012082584040903363,patient2,alpha
49,-0.01127198285491874,patient2,alpha
50,-0.008275856484637325,patient2,alpha
51,-0.00859653711384259,patient2,alpha
52,-0.0059176694156347085,patient2,alpha
53,-0.009201521289750953,patient2,alpha
54,-0.007622621036861888,patient2,alpha
55,-0.009753503825126986,patient2,alpha
56,-0.007882941664117297,patient2,alpha
57,-0.006138829408052562,patient2,alpha
58,-0.005998971343695596,patient2,alpha
59,-0.0034200589234596734,patient2,alpha
60,-0.0014339325704027688,patient2,alpha
61,-0.002724712529821108,patient2,alpha
62,-0.001640375992173233,patient2,alpha
63,-0.0018112533894331815,patient2,alpha
64,-0.0030762005548654577,patient2,alpha
65,-0.0028511996833497197,patient2,alpha
66,-0.0010672790175897584,patient2,alpha
67,-0.0007077650461391647,patient2,alpha
68,-0.001559567610606856,patient2,alpha
69,-0.00250769662202971,patient2,alpha
70,-0.003355631002380619,patient2,alpha
71,-0.0025554312445718245,patient2,alpha
72,-0.004180474322631437,patient2,alpha
73,-0.007376557727240122,patient2,alpha
74,-0.006634209333304017,patient2,alpha
75,-0.006097803949146568,patient2,alpha
76,-0.006570241067321153,patient2,alpha
77,-0.004816467204228386,patient2,alpha
78,-0.001613079151878372,patient2,alpha
79,-0.0031736535840325973,patient2,alpha
80,-0.0009275166712676061,patient2,alpha
81,-0.0035843583262558146,patient2,alpha
82,-0.00739700432771115,patient2,alpha
83,-0.0077143128980285995,patient2,alpha
84,-0.006559852619948545,patient2,alpha
85,-0.006785200234353611,patient2,alpha
86,-0.009698035155550367,patient2,alpha
87,-0.008723096865403224,patient2,alpha
88,-0.008676118447998404,patient2,alpha
89,-0.009022254696885997,patient2,alpha
90,-0.011179696714756293,patient2,alpha
91,-0.010056269317396779,patient2,alpha
92,-0.008975353308196559,patient2,alpha
93,-0.01089816971697371,patient2,alpha
94,-0.010941067285252674,patient2,alpha
95,-0.011513595759624434,patient2,alpha
96,-0.012572994137048654,patient2,alpha
97,-0.011979924590354518,patient2,alpha
98,-0.010249588484984907,patient2,alpha
99,-0.008439642764719039,patient2,alpha
100,-0.007539668395401791,patient2,alpha
101,-0.007535037648690589,patient2,alpha
102,-0.0046933979797660385,patient2,alpha
103,-0.006124304713923858,patient2,alpha
104,-0.006079191987557828,patient2,alpha
105,-0.003630327543605074,patient2,alpha
106,-0.003404484824890896,patient2,alpha
107,-0.003612913069189489,patient2,alpha
108,-0.0026509091583528394,patient2,alpha
109,-0.003419889407719322,patient2,alpha
110,-0.0049633555359892365,patient2,alpha
111,-0.0031852737153727283,patient2,alpha
112,-0.0038548087295354173,patient2,alpha
113,-0.002350260658165357,patient2,alpha
114,-0.0014132048313458996,patient2,alpha
115,-0.005849693558298211,patient2,alpha
