epoch_index,wsmi_scalar,subject_id,band
0,-0.0024381501212009586,patient10_window16s_stride1s-epo,beta
1,-0.0034856063817429285,patient10_window16s_stride1s-epo,beta
2,-0.003358489445520634,patient10_window16s_stride1s-epo,beta
3,-0.002780636438391911,patient10_window16s_stride1s-epo,beta
4,-0.0030355644732129204,patient10_window16s_stride1s-epo,beta
5,-0.0034126806154049843,patient10_window16s_stride1s-epo,beta
6,-0.0038124380581170425,patient10_window16s_stride1s-epo,beta
7,-0.0038483884763467397,patient10_window16s_stride1s-epo,beta
8,-0.004165289692968383,patient10_window16s_stride1s-epo,beta
9,-0.0032163270608066103,patient10_window16s_stride1s-epo,beta
10,-0.00360228803816589,patient10_window16s_stride1s-epo,beta
11,-0.003704032781804629,patient10_window16s_stride1s-epo,beta
12,-0.002319092869274944,patient10_window16s_stride1s-epo,beta
13,-0.0013495848947531759,patient10_window16s_stride1s-epo,beta
14,-0.0013831665913172314,patient10_window16s_stride1s-epo,beta
15,-0.0010148396347669719,patient10_window16s_stride1s-epo,beta
16,-0.002392051113828412,patient10_window16s_stride1s-epo,beta
17,-0.001977456464749418,patient10_window16s_stride1s-epo,beta
18,-0.0022358271536474187,patient10_window16s_stride1s-epo,beta
19,-0.0023974422773974085,patient10_window16s_stride1s-epo,beta
20,-0.0018121221091465774,patient10_window16s_stride1s-epo,beta
21,-0.0020297447300541087,patient10_window16s_stride1s-epo,beta
22,-0.0024790710143198632,patient10_window16s_stride1s-epo,beta
23,-0.0031258532791852674,patient10_window16s_stride1s-epo,beta
24,-0.0029252138808862067,patient10_window16s_stride1s-epo,beta
25,-0.0032460400305882858,patient10_window16s_stride1s-epo,beta
26,-0.0024392588215708397,patient10_window16s_stride1s-epo,beta
27,-0.002813462189925746,patient10_window16s_stride1s-epo,beta
28,-0.0033495031875686596,patient10_window16s_stride1s-epo,beta
29,-0.003804291253883081,patient10_window16s_stride1s-epo,beta
30,-0.00326809103970879,patient10_window16s_stride1s-epo,beta
31,-0.002648841190009711,patient10_window16s_stride1s-epo,beta
