epoch_index,wsmi_scalar,subject_id,band
0,-0.003248841711507691,patient11_window16s_stride1s-epo,theta
1,-0.0023985382380348097,patient11_window16s_stride1s-epo,theta
2,-0.003551042077220874,patient11_window16s_stride1s-epo,theta
3,-0.004135660343667268,patient11_window16s_stride1s-epo,theta
4,-0.005336111477622949,patient11_window16s_stride1s-epo,theta
5,-0.005977613382813534,patient11_window16s_stride1s-epo,theta
6,-0.004323607673700848,patient11_window16s_stride1s-epo,theta
7,-0.0043576566060278266,patient11_window16s_stride1s-epo,theta
8,-0.005263917552047275,patient11_window16s_stride1s-epo,theta
9,-0.005960488948033104,patient11_window16s_stride1s-epo,theta
10,-0.006365736070825197,patient11_window16s_stride1s-epo,theta
11,-0.00482869882570968,patient11_window16s_stride1s-epo,theta
12,-0.0066246524666242704,patient11_window16s_stride1s-epo,theta
13,-0.006122420367131649,patient11_window16s_stride1s-epo,theta
14,-0.005496388293618167,patient11_window16s_stride1s-epo,theta
15,-0.006453844804984532,patient11_window16s_stride1s-epo,theta
16,-0.006592848820067435,patient11_window16s_stride1s-epo,theta
17,-0.006775815592375253,patient11_window16s_stride1s-epo,theta
18,-0.004039761778539936,patient11_window16s_stride1s-epo,theta
19,-0.0021022524914886386,patient11_window16s_stride1s-epo,theta
20,-8.868140022641362e-06,patient11_window16s_stride1s-epo,theta
21,-0.0006307186655260648,patient11_window16s_stride1s-epo,theta
22,-0.001109114343839439,patient11_window16s_stride1s-epo,theta
23,-0.0012639445899853242,patient11_window16s_stride1s-epo,theta
24,-0.0008222338552721653,patient11_window16s_stride1s-epo,theta
25,-0.0012149310108936662,patient11_window16s_stride1s-epo,theta
26,-0.001044411937965898,patient11_window16s_stride1s-epo,theta
27,-0.003085133555401997,patient11_window16s_stride1s-epo,theta
28,-0.0016172852065967295,patient11_window16s_stride1s-epo,theta
29,-0.00166604880235885,patient11_window16s_stride1s-epo,theta
30,-0.0024583350659147284,patient11_window16s_stride1s-epo,theta
31,-0.002597041585363457,patient11_window16s_stride1s-epo,theta
32,-0.0028805417272653342,patient11_window16s_stride1s-epo,theta
33,-0.002848539793414852,patient11_window16s_stride1s-epo,theta
34,-0.00434110980887782,patient11_window16s_stride1s-epo,theta
35,-0.005336442709723606,patient11_window16s_stride1s-epo,theta
36,-0.005369812480959103,patient11_window16s_stride1s-epo,theta
37,-0.00609839489968856,patient11_window16s_stride1s-epo,theta
38,-0.0060441854820869325,patient11_window16s_stride1s-epo,theta
39,-0.00629414044932068,patient11_window16s_stride1s-epo,theta
40,-0.0061587702055909905,patient11_window16s_stride1s-epo,theta
41,-0.007088348794519371,patient11_window16s_stride1s-epo,theta
42,-0.005741217650134945,patient11_window16s_stride1s-epo,theta
